Sample_ID	Location	Country	Kin	MU_DNA	RR
Z14365_bb_noq.g	USVI	USA	G1	Northeast Caribbean	Virgin Islands
Z23560_bb_noq.g	USVI	USA	M2	Northeast Caribbean	Virgin Islands
Z24210_bb_noq.g	USVI	USA	M1	Northeast Caribbean	Virgin Islands
Z88837_bb_noq.g	USVI	USA	M3	Northeast Caribbean	Virgin Islands
Z85952_bb_noq.g	USVI	USA	O3	Northeast Caribbean	Virgin Islands
Z85953_bb_noq.g	USVI	USA	O3	Northeast Caribbean	Virgin Islands
Z85954_bb_noq.g	USVI	USA	O3	Northeast Caribbean	Virgin Islands
Z85955_bb_noq.g	USVI	USA	O3	Northeast Caribbean	Virgin Islands
Z85956_bb_noq.g	USVI	USA	O3	Northeast Caribbean	Virgin Islands
Z85960_bb_noq.g	USVI	USA	O3	Northeast Caribbean	Virgin Islands
Z85961_bb_noq.g	USVI	USA	O3	Northeast Caribbean	Virgin Islands
Z86024_bb_noq.g	USVI	USA	O3	Northeast Caribbean	Virgin Islands
Z96540_bb_noq.g	USVI	USA	O2	Northeast Caribbean	Virgin Islands
Z96541_bb_noq.g	USVI	USA	O2	Northeast Caribbean	Virgin Islands
Z96542_bb_noq.g	USVI	USA	O2	Northeast Caribbean	Virgin Islands
Z96543_bb_noq.g	USVI	USA	O2	Northeast Caribbean	Virgin Islands
Z96544_bb_noq.g	USVI	USA	O2	Northeast Caribbean	Virgin Islands
Z96545_bb_noq.g	USVI	USA	O2	Northeast Caribbean	Virgin Islands
Z96546_bb_noq.g	USVI	USA	O2	Northeast Caribbean	Virgin Islands
Z96547_bb_noq.g	USVI	USA	O2	Northeast Caribbean	Virgin Islands
Z92649_bb_noq.g	USVI	USA	O1	Northeast Caribbean	Virgin Islands
Z96239_bb_noq.g	USVI	USA	O1	Northeast Caribbean	Virgin Islands
Z96240_bb_noq.g	USVI	USA	O1	Northeast Caribbean	Virgin Islands
Z96245_bb_noq.g	USVI	USA	O1	Northeast Caribbean	Virgin Islands
Z96246_bb_noq.g	USVI	USA	O1	Northeast Caribbean	Virgin Islands
Z96247_bb_noq.g	USVI	USA	O1	Northeast Caribbean	Virgin Islands
Z96251_bb_noq.g	USVI	USA	O1	Northeast Caribbean	Virgin Islands
Z96252_bb_noq.g	USVI	USA	O1	Northeast Caribbean	Virgin Islands
