Sample_ID	country	RMU	MU_DNA
dc_100028_bb_noq.g	Mexico	E_Pacific	Eastern_Pacific
dc_100029_bb_noq.g	Mexico	E_Pacific	Eastern_Pacific
dc_100030_bb_noq.g	Mexico	E_Pacific	Eastern_Pacific
dc_100031_bb_noq.g	Mexico	E_Pacific	Eastern_Pacific
dc_100032_bb_noq.g	Mexico	E_Pacific	Eastern_Pacific
dc_100033_bb_noq.g	Mexico	E_Pacific	Eastern_Pacific
dc_100034_bb_noq.g	Mexico	E_Pacific	Eastern_Pacific
dc_100035_bb_noq.g	Mexico	E_Pacific	Eastern_Pacific
dc_100829_bb_noq.g	Mexico	E_Pacific	Eastern_Pacific
dc_101220_bb_noq.g	Mexico	E_Pacific	Eastern_Pacific
dc_101502_bb_noq.g	Virgin_Islands	NW_Atlantic	Northeast_Caribbean
dc_101533_bb_noq.g	Virgin_Islands	NW_Atlantic	Northeast_Caribbean
dc_101540_bb_noq.g	Virgin_Islands	NW_Atlantic	Northeast_Caribbean
dc_109779_bb_noq.g	Virgin_Islands	NW_Atlantic	Northeast_Caribbean
dc_109780_bb_noq.g	Virgin_Islands	NW_Atlantic	Northeast_Caribbean
dc_109781_bb_noq.g	Virgin_Islands	NW_Atlantic	Northeast_Caribbean
dc_109793_bb_noq.g	Virgin_Islands	NW_Atlantic	Northeast_Caribbean
dc_109803_bb_noq.g	Virgin_Islands	NW_Atlantic	Northeast_Caribbean
dc_109873_bb_noq.g	Virgin_Islands	NW_Atlantic	Northeast_Caribbean
dc_11724_bb_noq.g	Solomon_Islands	W_Pacific	Western_Pacific
dc_12243_bb_noq.g	South_Africa	SW_Indian	South_Africa
dc_12248_bb_noq.g	South_Africa	SW_Indian	South_Africa
dc_13186_bb_noq.g	Solomon_Islands	W_Pacific	Western_Pacific
dc_14469_bb_noq.g	Suriname	NW_Atlantic	South-east_Caribbean
dc_14470_bb_noq.g	Suriname	NW_Atlantic	South-east_Caribbean
dc_14487_bb_noq.g	French_Guiana	NW_Atlantic	South-east_Caribbean
dc_14488_bb_noq.g	French_Guiana	NW_Atlantic	South-east_Caribbean
dc_14558_bb_noq.g	Malaysia	NE_Indian	Indo-Western_Pacific
dc_14559_bb_noq.g	Malaysia	NE_Indian	Indo-Western_Pacific
dc_14560_bb_noq.g	Malaysia	NE_Indian	Indo-Western_Pacific
dc_14561_bb_noq.g	Malaysia	NE_Indian	Indo-Western_Pacific
dc_14563_bb_noq.g	Malaysia	NE_Indian	Indo-Western_Pacific
dc_14564_bb_noq.g	Malaysia	NE_Indian	Indo-Western_Pacific
dc_14568_bb_noq.g	South_Africa	SW_Indian	South_Africa
dc_14570_bb_noq.g	South_Africa	SW_Indian	South_Africa
dc_17040_bb_noq.g	Papua_New_Guinea	W_Pacific	Western_Pacific
dc_17041_bb_noq.g	Papua_New_Guinea	W_Pacific	Western_Pacific
dc_17049_bb_noq.g	Papua_New_Guinea	W_Pacific	Western_Pacific
dc_18331_bb_noq.g	French_Guiana	NW_Atlantic	South-east_Caribbean
dc_18332_bb_noq.g	French_Guiana	NW_Atlantic	South-east_Caribbean
dc_18385_bb_noq.g	French_Guiana	NW_Atlantic	South-east_Caribbean
dc_19154_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_20292_bb_noq.g	Papua_New_Guinea	W_Pacific	Western_Pacific
dc_20293_bb_noq.g	Papua_New_Guinea	W_Pacific	Western_Pacific
dc_32482_bb_noq.g	Costa_Rica	NW_Atlantic	Northwest_Caribbean
dc_32484_bb_noq.g	Costa_Rica	NW_Atlantic	Northwest_Caribbean
dc_33126_bb_noq.g	Costa_Rica	NW_Atlantic	Northwest_Caribbean
dc_33128_bb_noq.g	Costa_Rica	NW_Atlantic	Northwest_Caribbean
dc_33129_bb_noq.g	Costa_Rica	NW_Atlantic	Northwest_Caribbean
dc_37106_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37114_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37118_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37120_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37126_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37128_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37129_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37130_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37134_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37135_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37137_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37138_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37143_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37147_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37149_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37154_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37155_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37157_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37163_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37164_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37165_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37166_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37171_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37187_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37189_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37195_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37197_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37198_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37413_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37417_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37422_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37423_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37436_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37438_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37439_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37441_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_37446_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_40977_bb_noq.g	Ghana	SE_Atlantic	SE_Atlantic/West_Africa
dc_40978_bb_noq.g	Ghana	SE_Atlantic	SE_Atlantic/West_Africa
dc_40980_bb_noq.g	Ghana	SE_Atlantic	SE_Atlantic/West_Africa
dc_42911_bb_noq.g	South_Africa	SW_Indian	South_Africa
dc_43422_bb_noq.g	Gabon	SE_Atlantic	SE_Atlantic/West_Africa
dc_43423_bb_noq.g	Gabon	SE_Atlantic	SE_Atlantic/West_Africa
dc_43426_bb_noq.g	Gabon	SE_Atlantic	SE_Atlantic/West_Africa
dc_47297_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_47299_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_47300_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_47302_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_47936_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_47938_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_58940_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_78623_bb_noq.g	Virgin_Islands	NW_Atlantic	Northeast_Caribbean
dc_90097_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_90120_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_90125_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_90143_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_90162_bb_noq.g	Indonesia	W_Pacific	Western_Pacific
dc_90168_bb_noq.g	Solomon_Islands	W_Pacific	Western_Pacific
dc_90169_bb_noq.g	Solomon_Islands	W_Pacific	Western_Pacific
